Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone3
6.559,73.8,0.083,0.051,0.119,20240.96386
6.414,74.5,0.083,0.07,0.085,20131.08434
6.313,74.5,0.08,0.062,0.1,19668.43373
6.121,75.0,0.083,0.091,0.096,18899.27711
5.921,75.7,0.081,0.048,0.085,18442.40964
5.853,76.9,0.081,0.059,0.108,18130.12048
5.641,77.7,0.08,0.048,0.096,17945.06024
5.496,78.2,0.085,0.055,0.093,17459.27711
5.678,78.1,0.081,0.066,0.141,17025.54217
5.491,77.3,0.082,0.062,0.111,16794.21687
5.516,77.5,0.081,0.051,0.108,16638.07229
5.471,76.7,0.083,0.059,0.126,16395.18072
5.059,78.6,0.081,0.07,0.096,16117.59036
4.968,78.8,0.084,0.07,0.134,15822.6506
4.975,78.9,0.083,0.055,0.152,15672.28916
4.897,79.1,0.083,0.07,0.096,15597.10843
5.02,79.7,0.081,0.051,0.134,15510.36145
5.407,78.5,0.082,0.062,0.163,15336.86747
5.169,77.9,0.083,0.066,0.108,15140.24096
5.081,77.7,0.084,0.051,0.13,15059.27711
5.041,77.2,0.081,0.062,0.152,15013.01205
5.034,76.9,0.083,0.051,0.185,14897.3494
4.896,76.6,0.085,0.07,0.137,14602.40964
4.805,76.2,0.081,0.059,0.134,14590.84337
4.753,75.7,0.083,0.044,0.134,14585.06024
4.901,74.4,0.083,0.07,0.122,14452.04819
5.203,74.1,0.085,0.062,0.096,14232.28916
5.394,71.9,0.081,0.073,0.1,14157.10843
5.156,74.0,0.079,0.062,0.148,14232.28916
5.179,74.2,0.083,0.037,0.137,14243.85542
4.934,72.9,0.082,0.055,0.134,14243.85542
4.718,75.8,0.08,0.051,0.152,14105.06024
5.546,74.0,0.082,0.055,0.093,14266.98795
4.658,73.5,0.08,0.044,0.104,14353.73494
4.382,76.9,0.081,0.073,0.148,14538.79518
4.212,78.3,0.081,0.117,0.082,14862.6506
4.308,77.2,0.081,0.062,0.126,14908.91566
4.735,74.3,0.08,0.04,0.156,14729.63855
4.769,75.6,0.082,0.099,0.063,14625.54217
4.92,73.7,0.083,0.099,0.096,14480.96386
4.408,76.7,0.082,0.037,0.119,14319.03614
4.29,77.0,0.085,0.033,0.193,14018.31325
4.304,76.0,0.082,0.048,0.152,13492.04819
4.513,74.6,0.084,0.055,0.134,12630.36145
4.489,74.3,0.082,0.081,0.119,11600.96386
4.356,72.3,0.082,0.07,0.119,10640.96386
4.478,72.2,0.083,0.073,0.089,10455.90361
4.583,71.0,0.083,0.066,0.104,10496.38554
4.794,72.0,0.084,0.187,0.145,10710.36145
4.807,73.1,0.082,0.955,0.949,10837.59036
4.757,73.5,0.083,3.188,3.134,10941.68675
4.509,74.5,0.084,6.643,6.494,11178.79518
4.346,74.8,0.082,12.64,10.13,11514.21687
4.718,73.7,0.081,58.97,17.0,11959.51807
4.704,71.8,0.083,82.5,20.15,12283.37349
4.624,74.1,0.082,106.9,22.55,12427.95181
4.629,74.8,0.083,132.1,24.3,12826.98795
4.599,74.0,0.082,156.1,26.9,13121.92771
4.524,74.7,0.081,182.4,28.19,13648.19277
4.575,74.5,0.082,208.8,29.2,13850.60241
5.124,73.7,0.076,234.8,29.23,14162.89157
5.836,71.3,2.66,257.9,31.01,14428.91566
5.996,69.85,4.93,282.7,31.96,14671.80723
6.22,68.81,4.924,307.0,32.42,15036.14458
6.703,68.01,4.923,327.6,33.22,15267.46988
6.993,66.14,4.918,349.6,33.41,15244.33735
7.54,64.21,4.916,371.1,33.43,15591.3253
8.22,61.9,4.916,388.2,33.89,15816.86747
9.49,59.3,2.451,401.3,34.4,15932.53012
10.65,56.03,0.084,419.5,35.29,16053.9759
11.06,53.52,0.082,430.9,37.58,16256.38554
12.4,53.26,0.08,437.5,43.46,16354.6988
13.08,54.36,0.077,450.4,43.2,16562.89157
14.38,54.42,0.076,470.5,37.92,16522.40964
15.02,56.46,0.074,480.0,38.81,16649.63855
15.55,58.7,0.075,486.1,39.46,16869.39759
15.56,59.23,0.076,490.2,40.92,17094.93976
15.49,59.3,0.076,495.9,40.9,17418.79518
15.57,58.06,0.077,498.1,40.94,17413.01205
15.65,58.7,0.077,498.1,42.75,17436.14458
15.73,59.33,0.076,498.8,44.65,17332.04819
15.68,58.6,0.079,497.0,44.26,17465.06024
15.7,55.29,0.074,489.2,39.32,17164.33735
15.75,52.45,0.077,482.4,38.65,16979.27711
15.83,54.99,0.079,476.1,39.49,17054.45783
15.79,56.66,0.076,467.7,39.94,17048.6747
15.72,55.86,0.077,456.1,39.95,16950.36145
15.8,54.06,0.075,449.2,41.52,16823.13253
15.74,55.56,0.075,437.4,44.13,16684.33735
15.72,56.69,0.077,422.0,43.87,16678.55422
15.64,57.26,0.077,409.0,44.9,16753.73494
15.69,57.96,0.074,391.8,46.89,16805.78313
15.69,58.93,0.075,369.4,51.51,16649.63855
15.6,58.7,0.073,321.0,57.14,16586.0241
15.39,57.6,0.075,180.3,60.31,16476.14458
15.34,58.7,0.075,149.5,67.85,16296.86747
15.33,59.23,0.077,209.1,128.9,16256.38554
15.48,57.46,0.074,265.1,219.1,16250.60241
15.54,58.3,0.076,241.3,246.0,16192.77108
15.53,58.8,0.077,219.0,248.1,16343.13253
15.48,57.73,0.075,195.7,231.6,16522.40964
15.47,58.23,0.077,174.9,211.9,16765.3012
15.44,59.07,0.076,165.8,201.7,17719.51807
15.35,59.3,0.077,132.0,163.0,19408.19277
15.34,59.0,0.079,117.4,144.3,21883.37349
15.11,59.53,0.076,97.6,120.6,23942.16867
14.93,60.83,0.077,76.5,94.0,25179.75904
14.71,61.87,0.086,26.51,28.08,25520.96386
14.48,63.27,0.08,18.0,18.29,25544.09639
14.29,63.94,0.078,6.994,7.02,25619.27711
14.09,64.87,0.078,2.818,2.763,25798.55422
13.89,66.11,0.076,0.809,0.89,25792.77108
13.79,66.74,0.076,0.146,0.197,25734.93976
13.54,66.71,0.076,0.062,0.089,25885.3012
12.51,68.35,0.077,0.055,0.085,25989.39759
12.06,70.2,0.078,0.066,0.096,26035.66265
11.75,70.7,0.079,0.055,0.126,26191.80723
11.61,70.7,0.077,0.081,0.126,26105.06024
11.5,70.6,0.078,0.059,0.074,26342.16867
11.43,70.7,0.076,0.048,0.093,26452.04819
11.42,71.2,0.076,0.073,0.085,26469.39759
11.69,71.1,0.078,0.091,0.104,26573.49398
12.05,69.82,0.077,0.048,0.108,26434.6988
11.87,69.98,0.076,0.051,0.093,26533.01205
11.61,71.2,0.078,0.04,0.119,26515.66265
11.5,72.0,0.078,0.07,0.078,26434.6988
11.43,72.0,0.075,0.051,0.07,25966.26506
11.29,72.2,0.075,0.051,0.119,25578.79518
