Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone3
15.19,65.12,0.082,0.022,0.108,26332.25806
27.14,61.63,4.904,576.8,79.4,24835.48117
26.68,52.37,0.068,879.0,79.4,19979.27126
23.88,82.2,4.919,0.073,0.122,19567.14734
19.93,57.89,4.922,0.091,0.089,16067.98774
13.9,86.5,4.911,0.026,0.167,10247.78116
18.11,90.3,4.916,0.084,0.133,10889.72644
21.88,66.91,0.079,0.088,0.115,24735.50769
16.75,55.63,0.086,529.4,66.83,17384.09639
15.06,81.2,0.086,0.095,0.052,15239.51417
9.32,61.6,0.087,0.059,0.085,14006.74699
15.74,86.4,0.084,177.3,65.68,10131.06383
19.28,44.01,4.916,491.1,39.53,10386.50602
34.89,32.51,4.908,654.9,63.99,32595.8159
25.84,81.1,4.923,206.8,182.2,22877.49216
6.901,85.8,0.086,176.7,87.7,8528.211285
24.4,50.92,4.906,0.113,0.093,26498.41004
14.99,61.7,4.918,0.033,0.089,14208.3871
22.66,68.6,0.067,80.5,69.4,12955.6231
21.26,73.6,4.924,0.044,0.07,18283.769
26.96,84.4,4.909,0.077,0.126,37009.65517
16.55,81.8,0.068,0.044,0.078,27857.45455
9.13,85.4,0.073,0.059,0.111,15729.67742
32.54,38.59,4.921,458.6,63.6,30541.25523
20.26,63.76,0.081,269.1,218.1,18408.72727
19.07,58.94,0.078,0.091,0.119,10575.54656
25.83,84.3,4.916,0.04,0.126,29300.08368
19.61,67.65,0.079,0.077,0.085,18137.00405
22.17,65.53,4.931,908.0,51.78,17793.03644
19.86,70.4,4.925,653.2,655.0,15799.19028
8.7,61.13,4.918,27.66,12.8,8038.554217
21.35,60.98,0.081,0.095,0.119,26118.21862
20.16,71.0,0.072,269.0,255.2,10270.84337
19.1,66.54,0.078,0.062,0.107,17349.39759
15.59,58.76,0.08,551.8,579.1,15085.98995
26.52,49.6,4.92,0.106,0.104,35084.1841
22.42,36.97,0.077,263.9,243.6,16721.45455
23.1,45.88,0.073,818.0,46.56,16258.06452
8.44,85.9,0.08,64.11,24.49,12636.14458
25.42,47.59,0.085,572.3,127.0,12879.75684
6.793,80.7,0.083,0.04,0.156,9651.860744
21.45,52.26,0.09,303.9,70.7,10615.44073
16.93,81.0,0.081,142.0,124.7,18304.0
11.72,83.4,0.074,0.051,0.07,24590.32258
28.24,39.82,4.902,888.0,72.1,27168.90282
20.92,63.51,0.073,301.6,227.8,17939.27711
11.99,77.2,4.914,0.048,0.108,13829.78894
24.39,90.5,4.916,0.102,0.1,20590.34483
30.7,43.63,4.924,624.4,98.9,22395.31381
10.93,57.58,0.075,2.61,2.618,16658.82353
11.32,78.6,0.087,0.073,0.111,10970.60241
22.2,50.08,0.078,235.9,214.2,20730.09231
15.65,50.3,4.915,513.7,565.3,15776.12903
21.74,62.18,0.072,0.08,0.1,27943.38462
19.6,42.46,0.086,753.0,154.2,17471.6129
22.94,68.43,0.089,377.8,123.4,13521.70213
24.38,71.4,4.922,313.4,247.4,14432.35955
9.06,85.8,0.082,217.2,189.5,13337.72864
16.28,74.0,0.085,53.8,47.1,11624.72727
12.46,84.3,0.082,0.04,0.152,14225.80645
10.48,83.7,0.084,0.048,0.152,15719.56783
21.93,47.41,0.082,102.4,103.7,25296.73846
16.73,67.23,0.08,0.04,0.171,19584.0
14.53,73.7,0.073,0.055,0.148,8810.564226
13.49,58.88,0.082,0.059,0.115,13841.36683
19.81,70.3,0.069,0.059,0.126,7674.216867
23.24,42.38,4.928,175.5,177.2,15350.19408
21.01,69.03,0.077,0.073,0.107,11409.11854
16.06,87.0,0.066,8.18,6.97,29032.72727
26.2,77.1,4.907,0.102,0.111,20716.73981
18.62,74.5,4.923,1.123,0.93,26363.07692
13.45,64.75,0.082,45.91,45.65,25934.47236
3.919,80.6,0.088,0.026,0.152,15290.60241
13.85,68.71,0.084,0.059,0.159,25488.72362
9.1,91.0,0.081,0.059,0.122,14929.68844
24.88,84.5,4.921,0.062,0.122,27269.62343
13.48,53.04,0.083,0.059,0.13,15252.82113
24.04,93.1,4.932,6.886,5.419,11947.33542
21.97,65.6,4.92,889.0,52.09,17635.62753
25.16,52.15,0.291,826.0,185.1,15144.26966
27.21,57.49,0.057,197.7,214.6,30069.96865
24.32,84.9,4.911,0.069,0.152,22155.23511
23.58,63.3,0.071,571.0,227.8,18863.26154
23.97,84.8,4.925,0.11,0.133,30461.19122
13.52,69.94,0.082,0.758,0.812,15523.64946
23.68,58.46,0.08,404.3,137.2,10662.12766
25.37,33.22,4.921,224.3,248.1,17629.79757
26.24,40.41,4.923,798.0,46.94,18481.93548
23.89,42.25,4.905,2.282,1.904,17623.43096
14.75,64.27,0.079,217.0,118.4,15128.6747
15.78,91.4,0.067,0.037,0.137,16261.81818
19.91,83.9,0.069,0.055,0.178,12896.49231
13.75,69.87,0.073,0.037,0.122,13916.62312
24.34,37.78,4.923,802.0,80.4,16722.58065
17.98,62.75,4.92,257.3,49.77,9050.60241
23.26,55.2,0.073,410.5,429.0,11710.84337
11.9,71.3,4.915,0.088,0.093,15007.22892
30.22,63.95,4.904,461.1,238.2,29311.59875
9.71,65.44,4.916,163.6,166.9,13100.38191
30.92,34.68,4.915,0.095,0.115,34192.46862
26.31,70.7,4.913,656.3,104.5,26293.55649
30.74,34.91,4.914,0.088,0.119,33752.63598
17.34,72.5,0.08,0.044,0.126,24872.72727
20.61,79.5,4.916,399.3,65.15,11438.29787
26.58,57.22,0.258,419.1,42.32,15367.84474
22.61,57.44,0.073,136.0,27.12,13289.63855
20.83,72.7,4.922,836.0,129.5,17571.49798
17.43,46.6,0.081,594.9,650.4,16562.17085
18.82,63.51,0.079,0.066,0.122,15717.57085
29.3,54.96,4.91,815.0,95.3,26926.19247
18.76,58.26,0.082,0.051,0.096,24286.52308
5.911,92.4,0.08,0.088,0.141,9882.352941
14.21,76.2,0.083,0.059,0.085,15643.37349
14.4,79.3,0.072,195.1,176.3,16304.51613
14.7,81.3,0.084,0.037,0.108,21309.67742
24.47,37.34,0.087,873.0,41.04,19008.0
14.56,56.09,4.915,519.3,90.4,16539.01508
11.91,80.4,0.084,0.04,0.111,17756.12903
